:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
계약,2025년 1월 1일,체결일자,"['signing date', 'contract date', 'execution date', 'agreement date']",[],0,Relation
계약,주식회사 알파벤처스,매도인,"['seller', 'party to sale', 'transferor', 'vendor']",[],1,Relation
주식회사 알파벤처스,000-00-00000,사업자등록번호,"['tax id', 'registration number', 'business identifier']",[],2,Relation
계약,주식회사 베타홀딩스,매수인,"['customer', 'acquirer', 'purchaser', 'buyer']",[],3,Relation
주식회사 베타홀딩스,111-11-11111,사업자등록번호,"['tax id', 'registration number', 'business identifier']",[],4,Relation
계약,주식회사 감마테크,대상회사,"['involved organization', 'focus entity', 'target company', 'subject firm']",[],5,Relation
주식회사 감마테크,222-22-22222,사업자등록번호,"['tax id', 'registration number', 'business identifier']",[],6,Relation
주식회사 알파벤처스가 주식회사 베타홀딩스와 2025년 1월 1일에 계약을 체결했다,주식회사 알파벤처스,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],7,Relation
주식회사 알파벤처스가 주식회사 베타홀딩스와 2025년 1월 1일에 계약을 체결했다,주식회사 베타홀딩스,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],8,Relation
주식회사 알파벤처스가 주식회사 베타홀딩스와 2025년 1월 1일에 계약을 체결했다,2025년 1월 1일,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],9,Relation
계약에 주식회사 감마테크가 대상회사로 포함되었다,주식회사 감마테크,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],10,Relation
계약에 주식회사 감마테크가 대상회사로 포함되었다,계약,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],11,Relation
본 계약,"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도",목적,"['goal', 'intention', 'objective', 'purpose', 'aim']",[],12,Relation
매수인,본 계약,매수함에 있어 필요한 제반 사항을 규정,"['guideline', 'regulation', 'requirement', 'provision']",[],13,Relation
"본 계약은 매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매도하는 것",매수인이 이를 매수함에 필요한 제반 사항을 규정한다,때문에,"['cause', 'reason', 'origin', 'source', 'basis']",[],14,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],15,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],16,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.","보통주식 10,000,000주",is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],17,Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],18,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",매수인,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],19,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",대상회사,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],20,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.","보통주식 10,000,000주",is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],21,Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미,"['significance', 'interpretation', 'meaning']",[],22,Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미,"['significance', 'interpretation', 'meaning']",[],23,Relation
중요한 부정적 변동,"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",의미,"['significance', 'interpretation', 'meaning']",[],24,Relation
주식 양도가 제51조에 따라 완료된다,주식,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],25,Relation
주식 양도가 제51조에 따라 완료된다,제51조,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],26,Relation
대한민국의 은행이 정상 영업한다,대한민국의 은행,is participated by,"['involvement', 'membership', 'engagement', 'inclusion', 'participation']",[],27,Relation
