:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식매매계약서가 작성된다.,계약 당사자들이 주식의 매매에 대해 합의한다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],0,Relation
계약 당사자들이 주식의 매매에 대해 합의한다.,주식매매계약서가 작성된다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],1,Relation
주식매매계약서가 작성된다.,주식이 양도된다.,이전,"['move', 'shift', 'transfer', 'handover', 'transition']",[],2,Relation
주식이 양도된다.,주식매매계약서가 작성된다.,때문에,"['cause', 'result of', 'basis for', 'reason', 'due to']",[],3,Relation
주식매매계약서가 작성된다.,주식매도인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],4,Relation
주식매매계약서가 작성된다.,주식매수인,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],5,Relation
주식회사 카파벤처스,계약,매도인이다,"['transfer ownership', 'assign rights', 'sell', 'provide goods']",[],6,Relation
주식회사 람다홀딩스,계약,매수인이다,"['buy', 'purchase', 'obtain', 'acquire', 'receive']",[],7,Relation
주식회사 뮤테크놀로지,계약,대상회사이다,"['be target of', 'be selected company', 'be chosen entity', 'be subject to']",[],8,Relation
2025년 1월 1일에 계약일자가 정해진다.,계약 당사자가 결정된다.,이후,"['subsequent to', 'following', 'succession', 'after', 'next']",[],9,Relation
계약 당사자가 결정된다.,"매도인, 매수인, 대상회사가 각각 특정된다.",동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],10,Relation
매도인은 주식회사 카파벤처스로 지정된다.,매수인은 주식회사 람다홀딩스로 지정된다.,동시에,"['at the same time', 'simultaneous', 'concurrent', 'synchrony']",[],11,Relation
계약 당사자가 확정된다.,거래의 법적 주체가 명확해진다.,결과로,"['lead to', 'consequence of', 'outcome of', 'produce', 'result from']",[],12,Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 카파벤처스,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],13,Relation
주식회사 카파벤처스와 주식회사 람다홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 람다홀딩스,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],14,Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지에 대한 매도인 역할을 한다.,주식회사 카파벤처스,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],15,Relation
주식회사 카파벤처스가 주식회사 뮤테크놀로지에 대한 매도인 역할을 한다.,주식회사 뮤테크놀로지,is participated by,"['be attended by', 'be engaged by', 'be joined by', 'be taken part by', 'be involved by']",[],16,Relation
