:START_ID,:END_ID,relation,concepts,synsets,numeric_id,:TYPE
주식회사 알파벤처스,계약,는 매도인이다,"['party to sale', 'provider', 'seller', 'vendor']",[],0,Relation
주식회사 베타홀딩스,계약,는 매수인이다,"['acquirer', 'consumer', 'customer', 'buyer', 'purchaser']",[],1,Relation
주식회사 감마테크,계약,는 대상회사이다,"['target', 'subject', 'object', 'focus']",[],2,Relation
계약,2025년 1월 1일,의 계약일자는,"['signing date', 'agreement time', 'contract date', 'effective date']",[],3,Relation
주식회사 알파벤처스가 주식회사 베타홀딩스와 계약을 체결했다.,주식회사 알파벤처스,is participated by,"['engagement', 'involvement', 'participation']",[],4,Relation
주식회사 알파벤처스가 주식회사 베타홀딩스와 계약을 체결했다.,주식회사 베타홀딩스,is participated by,"['engagement', 'involvement', 'participation']",[],5,Relation
계약의 대상이 주식회사 감마테크이다.,주식회사 감마테크,is participated by,"['engagement', 'involvement', 'participation']",[],6,Relation
본 계약,"매도인의 대상회사 발행 보통주식 10,000,000주 매도 및 매수인의 매수",목적,"['aim', 'goal', 'intention', 'purpose', 'objective']",[],7,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매도인,is participated by,"['engagement', 'involvement', 'participation']",[],8,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",대상회사,is participated by,"['engagement', 'involvement', 'participation']",[],9,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.","보통주식 10,000,000주",is participated by,"['engagement', 'involvement', 'participation']",[],10,Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인,is participated by,"['engagement', 'involvement', 'participation']",[],11,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",매수인,is participated by,"['engagement', 'involvement', 'participation']",[],12,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.",대상회사,is participated by,"['engagement', 'involvement', 'participation']",[],13,Relation
"매수인이 대상회사 발행 보통주식 10,000,000주를 매수한다.","보통주식 10,000,000주",is participated by,"['engagement', 'involvement', 'participation']",[],14,Relation
거래종결일,주식 양도가 완료되는 날,의미하는 날,"['observance', 'significant day', 'commemoration', 'celebration', 'remembrance']",[],15,Relation
거래종결일,제51조,관련 조항,"['relevant article', 'related clause', 'pertinent section', 'reference', 'associated provision']",[],16,Relation
영업일,대한민국의 은행,정상 영업하는 기관,"['active', 'open', 'running', 'operational', 'functioning']",[],17,Relation
중요한 부정적 변동,대상회사의 재무상태,영향을 미치는 대상,"['impacted subject', 'affected party', 'influenced entity', 'recipient of effect', 'target of influence']",[],18,Relation
중요한 부정적 변동,대상회사의 영업,영향을 미치는 대상,"['impacted subject', 'affected party', 'influenced entity', 'recipient of effect', 'target of influence']",[],19,Relation
중요한 부정적 변동,대상회사의 자산,영향을 미치는 대상,"['impacted subject', 'affected party', 'influenced entity', 'recipient of effect', 'target of influence']",[],20,Relation
제51조에 따라 주식 양도가 완료된다,제51조,is participated by,"['engagement', 'involvement', 'participation']",[],21,Relation
제51조에 따라 주식 양도가 완료된다,주식 양도,is participated by,"['engagement', 'involvement', 'participation']",[],22,Relation
대한민국의 은행이 정상 영업한다,대한민국,is participated by,"['engagement', 'involvement', 'participation']",[],23,Relation
대한민국의 은행이 정상 영업한다,은행,is participated by,"['engagement', 'involvement', 'participation']",[],24,Relation
