name:ID,type,concepts,synsets,numeric_id,:LABEL
주식매매계약서가 작성된다.,event,[],[],0,Node
주식매매계약서,entity,[],[],1,Node
주식회사 뉴파이낸스,entity,[],[],2,Node
주식회사 오미크론테크,entity,[],[],3,Node
주식회사 크사이인베스트,entity,[],[],4,Node
계약,entity,[],[],5,Node
2025년 1월 1일,entity,[],[],6,Node
2025년 1월 1일에 계약이 체결되었다,event,[],[],7,Node
계약 당사자들이 확정되었다,event,[],[],8,Node
"매도인, 매수인, 대상회사가 각각 지정되었다",event,[],[],9,Node
주식회사 뉴파이낸스와 주식회사 크사이인베스트가 2025년 1월 1일에 계약을 체결한다.,event,[],[],10,Node
주식회사 뉴파이낸스가 주식회사 오미크론테크의 지분 또는 자산을 매도한다.,event,[],[],11,Node
주식회사 크사이인베스트가 주식회사 오미크론테크의 지분 또는 자산을 매수한다.,event,[],[],12,Node
제1장 총칙이 명시된다.,event,[],[],13,Node
제1장 총칙,entity,[],[],14,Node
매도인,entity,[],[],15,Node
"대상회사 발행 보통주식 10,000,000주",entity,[],[],16,Node
매매주식,entity,[],[],17,Node
매수인,entity,[],[],18,Node
본 계약,entity,[],[],19,Node
매매주식 매매에 필요한 제반 사항,entity,[],[],20,Node
매도인이 보유한 매매주식을 매도한다,event,[],[],21,Node
매수인이 매매주식을 매수한다,event,[],[],22,Node
매도인이 보유한 매매주식을 매도하고 매수인이 이를 매수한다,event,[],[],23,Node
필요한 제반 사항을 규정한다,event,[],[],24,Node
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",event,[],[],25,Node
대상회사,entity,[],[],26,Node
"보통주식 10,000,000주",entity,[],[],27,Node
"매수인이 매도인으로부터 대상회사 발행 보통주식 10,000,000주를 매수한다.",event,[],[],28,Node
본 계약은 매도인의 매도와 매수인의 매수에 필요한 제반 사항을 규정한다.,event,[],[],29,Node
거래종결일,entity,[],[],30,Node
계약일로부터 90일 후,entity,[],[],31,Node
제43조,entity,[],[],32,Node
영업일,entity,[],[],33,Node
대한민국의 은행이 정상 영업하는 날,entity,[],[],34,Node
운전자본,entity,[],[],35,Node
제77조,entity,[],[],36,Node
계약일이 발생한다.,event,[],[],37,Node
계약일로부터 90일 후가 된다.,event,[],[],38,Node
"""거래종결일""이 된다.",event,[],[],39,Node
대한민국의 은행이 정상 영업한다.,event,[],[],40,Node
"""영업일""이 된다.",event,[],[],41,Node
제77조에서 운전자본을 정의한다.,event,[],[],42,Node
"""운전자본""의 의미가 정해진다.",event,[],[],43,Node
거래종결일은 제43조에 따라 계약일로부터 90일 후로 정의된다.,event,[],[],44,Node
계약일,entity,[],[],45,Node
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,event,[],[],46,Node
대한민국의 은행,entity,[],[],47,Node
운전자본은 제77조에 정의된 바에 따른다.,event,[],[],48,Node
당사자,entity,[],[],49,Node
양 당사자가 본 계약을 체결한다.,event,[],[],50,Node
양 당사자가 본 계약을 이행한다.,event,[],[],51,Node
양 당사자는 상호 선의와 신뢰를 바탕으로 한다.,event,[],[],52,Node
양 당사자는 성실히 협력한다.,event,[],[],53,Node
양 당사자가 본 계약의 체결에 있어 성실히 협력한다.,event,[],[],54,Node
양 당사자,entity,[],[],55,Node
양 당사자가 본 계약의 이행에 있어 성실히 협력한다.,event,[],[],56,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의,entity,[],[],57,Node
당사자 간의 모든 합의가 이루어진다.,event,[],[],58,Node
본 계약이 체결된다.,event,[],[],59,Node
매매주식의 매매와 관련한 당사자 간의 모든 합의가 본 계약에 포함된다.,event,[],[],60,Node
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,event,[],[],61,Node
매매주식의 기준 매매가격,entity,[],[],62,Node
"일천억원(₩100,000,000,000)",entity,[],[],63,Node
최종 매매가격,entity,[],[],64,Node
제14조의 조정 메커니즘,entity,[],[],65,Node
주당 기준가격,entity,[],[],66,Node
"일만원(₩10,000)",entity,[],[],67,Node
"매매주식의 기준 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.",event,[],[],68,Node
최종 매매가격은 제14조의 조정 메커니즘에 따라 결정된다.,event,[],[],69,Node
"주당 기준가격은 금 일만원(₩10,000)으로 한다.",event,[],[],70,Node
최종 매매가격이 확정된다.,event,[],[],71,Node
"매매주식의 기준 매매가격을 금 일천억원(₩100,000,000,000)으로 정한다.",event,[],[],72,Node
"주당 기준가격을 금 일만원(₩10,000)으로 정한다.",event,[],[],73,Node
가격 조정,entity,[],[],74,Node
공정한 기준,entity,[],[],75,Node
