:START_ID,:END_ID,relation,concepts,synsets,:TYPE
주식매매계약서가 작성된다.,주식매매계약서,is participated by,[],[],Relation
주식회사 알파벤처스,주식회사 감마테크,매도인이다,[],[],Relation
주식회사 베타홀딩스,주식회사 감마테크,매수인이다,[],[],Relation
주식회사 알파벤처스,주식회사 베타홀딩스,계약을 체결한다,[],[],Relation
계약,2025년 1월 1일,체결일이다,[],[],Relation
2025년 1월 1일에 계약일자가 정해졌다.,주식회사 알파벤처스와 주식회사 베타홀딩스가 계약 당사자가 되었다.,이후,[],[],Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 계약 당사자가 되었다.,주식회사 감마테크가 계약의 대상회사가 되었다.,동시에,[],[],Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 알파벤처스,is participated by,[],[],Relation
주식회사 알파벤처스와 주식회사 베타홀딩스가 2025년 1월 1일에 계약을 체결한다.,주식회사 베타홀딩스,is participated by,[],[],Relation
주식회사 알파벤처스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 알파벤처스,is participated by,[],[],Relation
주식회사 알파벤처스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 감마테크,is participated by,[],[],Relation
주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 베타홀딩스,is participated by,[],[],Relation
주식회사 베타홀딩스가 주식회사 감마테크를 대상으로 계약을 체결한다.,주식회사 감마테크,is participated by,[],[],Relation
제1장 총칙이 시작된다.,제1장 총칙,is participated by,[],[],Relation
매도인,"대상회사 발행 보통주식 10,000,000주",보유하다,[],[],Relation
매도인,매매주식,매도하다,[],[],Relation
매수인,매매주식,매수하다,[],[],Relation
본 계약,매매주식 매도 및 매수에 필요한 제반 사항,규정하다,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인이 이를 매수한다.,동시에,[],[],Relation
"매도인이 보유한 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",본 계약이 필요한 제반 사항을 규정한다.,때문에,[],[],Relation
매수인이 이를 매수한다.,본 계약이 필요한 제반 사항을 규정한다.,때문에,[],[],Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매도인,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",대상회사,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.",매수인,is participated by,[],[],Relation
"매도인이 대상회사 발행 보통주식 10,000,000주를 매수인에게 매도한다.","보통주식 10,000,000주",is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 10,000,000주를 매수한다.",매수인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 10,000,000주를 매수한다.",매도인,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 10,000,000주를 매수한다.",대상회사,is participated by,[],[],Relation
"매수인이 매도인으로부터 대상회사 발행 보통주식 10,000,000주를 매수한다.","보통주식 10,000,000주",is participated by,[],[],Relation
본 계약은 매도인과 매수인 간의 매매에 필요한 제반 사항을 규정한다.,본 계약,is participated by,[],[],Relation
본 계약은 매도인과 매수인 간의 매매에 필요한 제반 사항을 규정한다.,매도인,is participated by,[],[],Relation
본 계약은 매도인과 매수인 간의 매매에 필요한 제반 사항을 규정한다.,매수인,is participated by,[],[],Relation
거래종결일,제51조에 따라 주식 양도가 완료되는 날,의미한다,[],[],Relation
영업일,대한민국의 은행이 정상 영업하는 날,의미한다,[],[],Relation
중요한 부정적 변동,"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건",의미한다,[],[],Relation
주식 양도가 완료된다.,"""거래종결일""이 된다.",이후,[],[],Relation
대한민국의 은행이 정상 영업한다.,"""영업일""이다.",동시에,[],[],Relation
"대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건이 발생한다.","""중요한 부정적 변동""이 발생한다.",결과로,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,거래종결일,is participated by,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,제51조,is participated by,[],[],Relation
거래종결일은 제51조에 따라 주식 양도가 완료되는 날로 정의된다.,주식,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,영업일,is participated by,[],[],Relation
영업일은 대한민국의 은행이 정상 영업하는 날로 정의된다.,대한민국의 은행,is participated by,[],[],Relation
"중요한 부정적 변동은 대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건으로 정의된다.",중요한 부정적 변동,is participated by,[],[],Relation
"중요한 부정적 변동은 대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건으로 정의된다.",대상회사,is participated by,[],[],Relation
"중요한 부정적 변동은 대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건으로 정의된다.",재무상태,is participated by,[],[],Relation
"중요한 부정적 변동은 대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건으로 정의된다.",영업,is participated by,[],[],Relation
"중요한 부정적 변동은 대상회사의 재무상태, 영업, 자산에 중대한 악영향을 미치는 사건으로 정의된다.",자산,is participated by,[],[],Relation
양 당사자,본 계약,계약을 체결한다,[],[],Relation
양 당사자,본 계약,계약을 이행한다,[],[],Relation
양 당사자,본 계약의 체결 및 이행,상호 선의와 신뢰를 바탕으로 협력한다,[],[],Relation
양 당사자가 본 계약을 체결한다.,양 당사자가 본 계약을 이행한다.,이후,[],[],Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 한다.,양 당사자가 성실히 협력한다.,때문에,[],[],Relation
양 당사자가 본 계약을 체결한다.,양 당사자,is participated by,[],[],Relation
양 당사자가 본 계약을 체결한다.,본 계약,is participated by,[],[],Relation
양 당사자가 본 계약을 이행한다.,양 당사자,is participated by,[],[],Relation
양 당사자가 본 계약을 이행한다.,본 계약,is participated by,[],[],Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,양 당사자,is participated by,[],[],Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,선의,is participated by,[],[],Relation
양 당사자가 상호 선의와 신뢰를 바탕으로 성실히 협력한다.,신뢰,is participated by,[],[],Relation
본 계약,매매주식의 매매와 관련한 당사자 간의 모든 합의,포함한다,[],[],Relation
본 계약,이전의 모든 구두 또는 서면 합의,대체한다,[],[],Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,동시에,[],[],Relation
이전의 모든 구두 또는 서면 합의가 존재했다.,본 계약이 체결되어 이전의 모든 구두 또는 서면 합의를 대체한다.,이후,[],[],Relation
본 계약이 체결된다.,이전의 모든 구두 또는 서면 합의가 대체된다.,결과로,[],[],Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,본 계약,is participated by,[],[],Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,매매주식,is participated by,[],[],Relation
본 계약은 매매주식의 매매와 관련한 당사자 간의 모든 합의를 포함한다.,당사자,is participated by,[],[],Relation
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,본 계약,is participated by,[],[],Relation
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,이전의 구두 합의,is participated by,[],[],Relation
본 계약은 이전의 모든 구두 또는 서면 합의를 대체한다.,이전의 서면 합의,is participated by,[],[],Relation
매매주식의 총 매매가격,"금 일천억원(₩100,000,000,000)",정해진다,[],[],Relation
주당 매매가격,"금 일만원(₩10,000)",정해진다,[],[],Relation
"매매주식의 총 매매가격은 금 일천억원(₩100,000,000,000)으로 한다.","주당 매매가격은 금 일만원(₩10,000)으로 한다.",결과로,[],[],Relation
"매매주식의 총 매매가격을 금 일천억원(₩100,000,000,000)으로 정한다.",매매주식,is participated by,[],[],Relation
"주당 매매가격을 금 일만원(₩10,000)으로 정한다.",매매주식,is participated by,[],[],Relation
진술,본 계약 체결일,기준일로 한다,[],[],Relation
진술,거래종결일,기준일로 한다,[],[],Relation
보증,본 계약 체결일,기준일로 한다,[],[],Relation
보증,거래종결일,기준일로 한다,[],[],Relation
본 계약이 체결된다.,거래가 종결된다.,이전,[],[],Relation
진술과 보증이 있다.,진술과 보증의 기준일이 본 계약 체결일과 거래종결일이 된다.,결과로,[],[],Relation
달리 명시되지 않는다.,모든 진술과 보증은 본 계약 체결일과 거래종결일을 기준으로 한다.,결과로,[],[],Relation
모든 진술과 보증은 본 계약 체결일을 기준으로 한다.,진술,is participated by,[],[],Relation
모든 진술과 보증은 본 계약 체결일을 기준으로 한다.,보증,is participated by,[],[],Relation
모든 진술과 보증은 본 계약 체결일을 기준으로 한다.,본 계약 체결일,is participated by,[],[],Relation
모든 진술과 보증은 거래종결일을 기준으로 한다.,진술,is participated by,[],[],Relation
모든 진술과 보증은 거래종결일을 기준으로 한다.,보증,is participated by,[],[],Relation
모든 진술과 보증은 거래종결일을 기준으로 한다.,거래종결일,is participated by,[],[],Relation
각 당사자,제3자,비밀정보를 공개하지 않는다,[],[],Relation
각 당사자,상대방,비밀정보를 취득한다,[],[],Relation
법령상 요구 또는 상대방의 서면 동의,비밀정보 공개 금지,예외를 허용한다,[],[],Relation
각 당사자가 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,법령상 요구되거나 상대방의 서면 동의가 있는 경우는 예외로 한다.,이전,[],[],Relation
법령상 요구가 있거나 상대방의 서면 동의가 있다.,각 당사자가 비밀정보를 제3자에게 공개할 수 있다.,때문에,[],[],Relation
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,각 당사자,is participated by,[],[],Relation
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,상대방,is participated by,[],[],Relation
각 당사자는 본 계약과 관련하여 취득한 상대방의 비밀정보를 제3자에게 공개하지 않는다.,제3자,is participated by,[],[],Relation
법령상 요구가 있는 경우 비밀정보 공개가 예외로 인정된다.,법령,is participated by,[],[],Relation
법령상 요구가 있는 경우 비밀정보 공개가 예외로 인정된다.,비밀정보,is participated by,[],[],Relation
상대방의 서면 동의가 있는 경우 비밀정보 공개가 예외로 인정된다.,상대방,is participated by,[],[],Relation
상대방의 서면 동의가 있는 경우 비밀정보 공개가 예외로 인정된다.,비밀정보,is participated by,[],[],Relation
매수인,거래종결 전,추가 실사를 요청할 수 있다,[],[],Relation
매도인,추가 실사,협조해야 한다,[],[],Relation
매수인은 거래종결 전 언제든지 추가 실사를 요청할 수 있다.,거래가 종결된다.,이전에,[],[],Relation
매수인은 추가 실사를 요청할 수 있다.,매도인은 이에 성실히 협조해야 한다.,결과로,[],[],Relation
매수인이 추가 실사를 요청한다.,매도인은 이에 성실히 협조해야 한다.,때문에,[],[],Relation
매수인은 거래종결 전 언제든지 추가 실사를 요청할 수 있다.,매수인,is participated by,[],[],Relation
매도인은 매수인의 추가 실사 요청에 성실히 협조해야 한다.,매도인,is participated by,[],[],Relation
매도인은 매수인의 추가 실사 요청에 성실히 협조해야 한다.,매수인,is participated by,[],[],Relation
매매대금,거래종결일,지급된다,[],[],Relation
매매대금,현금,지급된다,[],[],Relation
지급,매도인이 지정한 계좌,진행된다,[],[],Relation
지급,송금,진행된다,[],[],Relation
매매대금은 거래종결일에 전액 현금으로 지급한다.,지급은 매도인이 지정한 계좌로 송금하는 방식으로 한다.,이후,[],[],Relation
매매대금은 거래종결일에 전액 현금으로 지급한다.,지급은 매도인이 지정한 계좌로 송금하는 방식으로 한다.,결과로,[],[],Relation
매수인은 거래종결일에 매매대금을 전액 현금으로 지급한다.,매수인,is participated by,[],[],Relation
매수인은 거래종결일에 매매대금을 전액 현금으로 지급한다.,매매대금,is participated by,[],[],Relation
매수인은 매도인이 지정한 계좌로 매매대금을 송금한다.,매수인,is participated by,[],[],Relation
매수인은 매도인이 지정한 계좌로 매매대금을 송금한다.,매도인,is participated by,[],[],Relation
매수인은 매도인이 지정한 계좌로 매매대금을 송금한다.,매매대금,is participated by,[],[],Relation
매수인은 매도인이 지정한 계좌로 매매대금을 송금한다.,매도인이 지정한 계좌,is participated by,[],[],Relation
본 계약,대한민국 법률,해석된다,[],[],Relation
분쟁,본 계약의 해석,발생한다,[],[],Relation
본 계약의 해석에 대한 분쟁이 있을 경우,대한민국 법률에 따라 해석한다,때문에,[],[],Relation
본 계약의 해석에 대한 분쟁이 발생한다.,본 계약,is participated by,[],[],Relation
분쟁이 발생할 경우 본 계약을 대한민국 법률에 따라 해석한다.,본 계약,is participated by,[],[],Relation
분쟁이 발생할 경우 본 계약을 대한민국 법률에 따라 해석한다.,대한민국 법률,is participated by,[],[],Relation
매매계약이 체결된다.,매매조건이 적용된다.,이후,[],[],Relation
제2장 매매조건이 언급된다.,제2장,is participated by,[],[],Relation
제2장 매매조건이 언급된다.,매매조건,is participated by,[],[],Relation
매도인,매매주식에 대한 완전한 소유권,이전한다,[],[],Relation
매매주식에 대한 완전한 소유권,매수인,이전받는다,[],[],Relation
거래종결일이 도래한다.,매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,이후,[],[],Relation
거래종결일에 매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,매수인은 매매주식의 완전한 소유권을 갖게 된다.,결과로,[],[],Relation
매도인은 매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,매도인,is participated by,[],[],Relation
매도인은 매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,매매주식,is participated by,[],[],Relation
매도인은 매매주식에 대한 완전한 소유권을 매수인에게 이전한다.,매수인,is participated by,[],[],Relation
매수인,경영 자문,요청할 수 있다,[],[],Relation
매수인,매도인,요청 상대이다,[],[],Relation
경영 자문,매도인,요청받을 수 있다,[],[],Relation
거래가 종결된다.,매수인은 경영 자문을 요청할 수 있다.,이후,[],[],Relation
거래가 종결된 후 6개월 이내이다.,매수인은 매도인에게 경영 자문을 요청할 수 있다.,동시에,[],[],Relation
매수인은 거래종결 후 6개월 내에 매도인에게 경영 자문을 요청할 수 있다.,매수인,is participated by,[],[],Relation
매수인은 거래종결 후 6개월 내에 매도인에게 경영 자문을 요청할 수 있다.,매도인,is participated by,[],[],Relation
운전자본,매매대금 조정,변동에 따라,[],[],Relation
순부채,매매대금 조정,변동에 따라,[],[],Relation
매매대금 조정,제92조,제92조에 정한 바에 따른다,[],[],Relation
"운전자본, 순부채 등의 변동이 발생한다.",매매대금이 조정된다.,이후,[],[],Relation
제92조에 정한 바에 따른다.,매매대금 조정이 이루어진다.,때문에,[],[],Relation
"운전자본, 순부채 등의 변동에 따라 매매대금이 조정된다.",운전자본,is participated by,[],[],Relation
"운전자본, 순부채 등의 변동에 따라 매매대금이 조정된다.",순부채,is participated by,[],[],Relation
"운전자본, 순부채 등의 변동에 따라 매매대금이 조정된다.",매매대금,is participated by,[],[],Relation
매매대금 조정은 제92조에 정한 바에 따라 이루어진다.,매매대금 조정,is participated by,[],[],Relation
매매대금 조정은 제92조에 정한 바에 따라 이루어진다.,제92조,is participated by,[],[],Relation
매매주식,"담보권, 제한, 부담도 없는 상태",양도되어야 한다,[],[],Relation
"매매주식은 담보권, 제한, 부담이 없다.",매매주식이 양도된다.,결과로,[],[],Relation
